sim_swap_time_gap_minutes,sim_swap_flag,device_change_flag,sim_type_change_flag,imsi_change_flag,iccid_change_flag,otp_and_sim_change_geo_hash_length
9282,0,0,0,0,0,0.807
2384,0,1,0,0,0,0.905
3206,0,0,0,0,0,0.808
9326,0,0,0,0,0,0.91
7854,0,0,0,1,0,0.972
9285,1,1,1,1,1,0.358
5382,0,0,0,0,0,0.97
6807,0,0,0,0,0,0.936
5181,0,0,0,0,0,0.959
9461,0,0,0,1,0,0.788
6081,0,1,0,0,0,0.952
1298,1,1,0,1,0,0.346
4779,0,0,0,1,0,0.983
704,0,0,0,0,0,0.716
465,1,1,1,0,1,0.23
1712,0,0,1,0,0,0.913
1808,0,0,0,0,0,0.919
8476,0,0,0,0,0,0.998
2534,0,0,0,0,0,0.989
6773,0,0,0,1,0,0.896
6059,0,0,0,1,0,0.797
5636,0,0,0,0,0,0.828
7641,0,0,0,0,1,0.747
4964,0,0,0,0,0,0.903
161,0,0,0,0,0,0.778
8727,0,0,0,0,0,0.776
10079,0,0,0,1,0,0.742
3349,0,0,0,0,0,0.804
7634,0,0,0,0,0,0.887
5559,0,0,1,1,0,0.952
8803,0,0,0,0,0,0.84
6211,0,0,0,1,0,0.935
7528,0,0,0,0,0,0.906
5966,0,0,0,1,0,0.794
5379,0,0,0,0,0,0.989
2168,0,0,0,1,0,0.728
4133,0,0,0,0,0,0.761
4988,0,0,0,0,0,0.828
442,0,1,0,0,0,0.869
5075,1,1,1,1,1,0.375
3162,0,0,0,0,0,0.841
6815,0,0,1,0,0,0.974
2974,0,0,0,0,0,0.913
8543,0,0,1,0,0,0.718
9389,0,0,1,0,0,0.911
6752,0,0,0,0,0,0.743
3761,0,0,0,0,0,0.856
5836,0,0,0,0,0,0.781
8303,0,0,0,0,0,0.823
5043,0,0,0,0,0,0.802
1678,0,0,0,1,0,0.905
289,0,0,0,0,0,0.956
8881,0,0,0,0,0,0.973
332,0,0,0,0,0,0.7
918,0,0,0,0,1,0.92
3990,0,0,1,0,0,0.923
7724,0,1,0,0,0,0.808
5903,0,0,0,0,0,0.867
9124,0,0,0,0,0,0.997
5420,0,0,0,0,0,0.879
